ID,FTF,OLA,OLS,HYA,HYS,HYF,8to10,10to12,12to3,3to5,5to8,timeblock,MWF,TR,MW,MF,oneday,online,resstatus,class,age,workstatus,major
98415131,4,1,2,3,5,6,3,2,3,4,5,1,,,1,,,2,0,4,2,3,5
98415132,1,6,5,4,3,2,3,1,2,4,5,3,5,3,,,,2,1,2,2,2,16
98415133,6,1,2,3,4,5,4,3,1,3,5,2,,3,,,,1,1,3,2,3,14
98415134,2,4,2,4,5,3,3,1,3,4,5,2,5,3,,,,2,0,2,2,2,11
98415135,1,5,6,3,4,2,1,1,3,5,5,3,5,3,,,,2,1,4,2,2,4
98415136,2,1,6,3,4,5,1,5,5,5,5,2,,,1,,,1,0,4,2,2,5
98415137,1,6,5,4,3,2,2,1,4,4,5,3,5,3,,,,2,0,1,1,2,31
98415138,2,1,6,3,6,6,4,2,4,5,5,3,5,,,,,2,0,3,2,3,28
98415139,1,1,1,6,6,6,2,2,2,4,5,3,5,,,,,1,0,4,2,1,29
98415140,1,6,5,3,4,2,5,2,1,3,4,3,5,,,,,2,1,4,2,3,26
98415141,1,2,4,3,5,6,1,2,3,5,4,3,5,3,1,2,,2,0,2,5,3,16
98415142,1,2,3,4,5,6,4,1,2,3,5,3,5,,,,,2,1,4,2,2,10
98415145,1,3,5,2,4,6,4,3,1,3,4,3,5,3,,,,2,0,4,2,3,12
98415146,6,2,3,4,5,1,5,1,3,4,4,3,5,,,,,1,0,4,2,1,11
98415148,1,3,6,2,5,4,2,2,1,4,5,3,5,3,,,,2,1,1,2,3,16
98415149,1,2,3,5,6,4,5,2,1,2,4,2,,3,1,,,2,0,4,3,3,29
98415150,1,6,2,5,3,4,4,1,2,5,3,3,5,,,,,2,1,1,2,2,29
98415151,1,2,3,4,5,6,4,2,1,5,5,3,5,,,,4,2,0,1,1,2,26
98415152,2,1,3,4,5,6,4,1,2,4,5,2,,3,1,,,2,1,1,2,3,19
98415153,1,2,5,3,6,4,3,1,2,4,5,3,5,3,1,,,1,1,1,2,2,31
98415154,1,3,5,2,4,6,1,2,3,4,5,3,5,3,,,,2,1,2,2,3,23
98415155,1,4,5,2,3,6,5,1,2,4,5,2,,3,1,,,2,1,3,2,2,7
98415157,1,2,6,5,4,3,3,1,2,4,5,2,5,3,,,,2,0,1,1,2,16
98415159,1,4,6,2,3,5,1,2,3,4,5,3,5,,,,4,2,0,4,2,2,11
98415163,6,1,2,4,5,3,2,1,1,3,3,1,5,,1,,,1,0,4,3,2,5
98415166,1,2,5,6,3,4,5,1,2,5,3,2,,3,1,,4,2,1,3,2,2,33
98415167,2,1,3,3,3,1,5,5,5,1,1,1,,,,,4,2,0,4,5,1,32
98415169,1,6,5,4,2,3,3,1,2,4,5,3,5,3,1,2,,2,1,1,1,3,33
98415170,6,1,2,4,5,3,5,3,1,2,4,1,5,,,,4,1,0,4,4,3,8
98415171,1,4,2,5,6,3,3,1,3,5,5,2,,3,1,,,2,0,1,1,2,9
98415172,1,6,5,2,4,3,,1,2,4,5,2,5,,,,,2,0,3,5,3,27
98415175,5,2,1,3,4,6,4,5,3,1,2,1,,,,,4,1,0,4,4,2,29
98415176,1,6,5,3,2,4,1,1,2,2,,3,5,,,,,2,1,1,2,3,22
98415178,1,3,2,5,4,6,2,1,3,4,5,2,5,3,1,,,2,1,3,2,2,1
98415179,1,6,5,4,3,2,2,3,5,2,4,2,,,1,,,2,,,,,
98415180,6,1,2,5,4,3,5,4,3,2,1,1,,3,,2,4,1,0,2,2,2,5
98415181,1,2,3,4,5,6,4,2,3,3,5,2,,3,1,,,2,0,1,1,3,3
98415182,1,2,4,3,6,5,5,1,2,3,4,2,,3,,,,2,0,1,2,3,25
98415183,1,5,5,2,3,6,1,2,3,4,5,3,5,,,,,2,0,1,2,2,14
98415184,1,4,5,3,6,2,2,1,3,4,5,3,5,,,,,2,1,3,2,2,16
98415188,1,5,6,3,4,2,4,1,2,3,5,2,,3,1,,,2,1,2,2,2,4
98415189,1,2,3,4,5,6,2,1,4,4,5,3,5,,,,,1,0,3,1,2,5
98415190,1,2,4,3,5,6,2,1,3,4,5,3,5,,,,,2,1,1,1,3,6
98415192,1,2,3,4,5,6,1,2,3,4,5,2,,3,,,,2,1,4,2,2,4
98415193,1,2,2,2,2,1,3,1,2,2,3,2,,3,,,,1,1,4,3,3,26
98415194,1,2,6,4,3,5,5,1,2,3,4,3,5,,,,,2,0,1,2,3,14
98415197,1,3,5,2,4,6,2,1,2,4,5,2,,3,,,4,2,1,1,1,2,23
98415198,6,1,2,3,4,5,5,1,2,3,4,3,5,,1,,,1,1,2,2,2,14
98415199,1,4,2,5,3,6,1,2,3,4,5,3,5,3,,,,2,1,1,2,3,22
98415204,3,1,2,5,6,4,5,3,1,2,4,3,5,3,,,,1,0,3,2,2,21
98415209,1,3,4,5,6,2,4,1,2,4,4,3,5,3,1,,,2,0,1,1,2,30
98415212,1,2,6,3,4,5,1,2,3,4,5,3,5,,,,,2,0,3,2,3,4
98415213,1,3,4,2,5,6,4,1,1,4,4,2,,3,,,4,2,0,3,2,2,29
98415214,2,3,6,4,5,1,3,2,1,4,5,3,5,,,,,2,0,4,3,3,17
98415217,1,2,5,4,6,3,4,1,2,3,5,3,5,3,,,,2,1,3,2,3,22
98415218,1,2,3,4,5,6,3,1,2,4,5,3,5,,,,,2,1,2,2,3,14
98415219,1,2,3,4,5,6,3,1,2,4,5,3,5,3,1,,,1,1,3,2,3,21
98415220,1,2,4,3,5,6,5,1,2,3,4,2,,,1,,,2,0,1,2,2,17
98415223,2,4,3,5,5,1,5,3,2,3,4,3,5,3,,,,2,1,1,1,2,29
98415228,4,1,5,2,3,6,1,2,3,4,5,2,,,1,,,1,0,2,3,1,23
98415229,2,1,6,3,4,5,2,1,3,4,5,2,,3,,,4,1,1,3,2,2,16
98415230,5,1,3,2,4,6,3,1,2,4,5,2,,3,1,,,1,1,4,2,3,4
98415232,1,2,4,5,6,3,3,1,2,5,5,3,5,,,,,2,0,2,2,2,26
98415233,1,3,2,3,4,6,5,3,2,1,4,3,5,3,1,,,1,1,1,2,2,11
98415241,1,3,2,4,5,6,4,1,2,4,5,3,5,,,,,1,0,1,1,3,5
98415247,2,1,6,3,4,5,1,2,4,4,4,2,,3,,,,2,0,2,2,2,19
98415248,1,2,3,4,5,6,5,2,3,3,3,3,5,,,,,2,0,3,2,3,22
